generation,active_cell_count,n_sample_active
0,1,1
1,1,0
2,1,0
3,2,0
4,3,0
5,4,0
6,6,0
7,8,0
8,11,0
9,15,0
10,20,0
11,27,0
12,37,0
13,50,0
14,68,0
15,91,0
16,121,0
17,161,0
18,212,0
19,277,0
20,358,0
21,457,0
22,573,0
23,705,0
24,849,0
25,1000,0
26,1150,0
27,1294,0
28,1426,0
29,1542,0
30,1641,50
31,1722,0
32,1787,0
33,1838,0
34,1878,0
35,1908,0
36,1931,0
37,1949,0
38,1962,0
39,1972,0
40,1979,0
41,1984,0
42,1988,0
43,1991,0
44,1993,0
45,1995,0
46,1996,0
47,1997,0
48,1998,0
49,1998,0
50,1998,0
51,1999,0
52,1999,0
53,1999,0
54,1999,0
55,1999,0
56,1999,0
57,1999,0
58,1999,0
59,1999,0
60,1999,50
61,1999,0
62,1999,0
63,1999,0
64,1999,0
65,1999,0
66,1999,0
67,1999,0
68,1999,0
69,1999,0
70,1999,0
71,1999,0
72,1999,0
73,1999,0
74,1999,0
75,1999,0
76,1999,0
77,1999,0
78,1999,0
79,1999,0
80,1999,0
81,1999,0
82,1999,0
83,1999,0
84,1999,0
85,1999,0
86,1999,0
87,1999,0
88,1999,0
89,1999,0
90,1999,50
91,1999,0
92,1999,0
93,1999,0
94,1999,0
95,1999,0
96,1999,0
97,1999,0
98,1999,0
99,1999,0
100,1999,0
101,1999,0
102,1999,0
103,1999,0
104,1999,0
105,1999,0
106,1999,0
107,1999,0
108,1999,0
109,1999,0
110,1999,0
111,1999,0
112,1999,0
113,1999,0
114,1999,0
115,1999,0
116,1999,0
117,1999,0
118,1999,0
119,1999,0
120,1999,50
121,1999,0
122,1999,0
123,1999,0
124,1999,0
125,1999,0
126,1999,0
127,1999,0
128,1999,0
129,1999,0
130,1999,0
131,1999,0
132,1999,0
133,1999,0
134,1999,0
135,1999,0
136,1999,0
137,1999,0
138,1999,0
139,1999,0
140,1999,0
141,1999,0
142,1999,0
143,1999,0
144,1999,0
145,1999,0
146,2000,0
147,2000,0
148,2000,0
149,2000,0
150,2000,50
151,2000,0
152,2000,0
153,2000,0
154,2000,0
155,2000,0
156,2000,0
157,2000,0
158,2000,0
159,2000,0
160,2000,0
161,2000,0
162,2000,0
163,2000,0
164,2000,0
165,2000,0
166,2000,0
167,2000,0
168,2000,0
169,2000,0
170,2000,0
171,2000,0
172,2000,0
173,2000,0
174,2000,0
175,2000,0
176,2000,0
177,2000,0
178,2000,0
179,2000,0
180,2000,50
181,2000,0
182,2000,0
183,2000,0
184,2000,0
185,2000,0
186,2000,0
187,2000,0
188,2000,0
189,2000,0
190,2000,0
191,2000,0
192,2000,0
193,2000,0
194,2000,0
195,2000,0
196,2000,0
197,2000,0
198,2000,0
199,2000,0
200,2000,0
201,2000,0
202,2000,0
203,2000,0
204,2000,0
205,2000,0
206,2000,0
207,2000,0
208,2000,0
209,2000,0
210,2000,50
211,2000,0
212,2000,0
213,2000,0
214,2000,0
215,2000,0
216,2000,0
217,2000,0
218,2000,0
219,2000,0
220,2000,0
221,2000,0
222,2000,0
223,2000,0
224,2000,0
225,2000,0
226,2000,0
227,2000,0
228,2000,0
229,2000,0
230,2000,0
231,2000,0
232,2000,0
233,2000,0
234,2000,0
235,2000,0
236,2000,0
237,2000,0
238,2000,0
239,2000,0
240,2000,50
241,2000,0
242,2000,0
243,2000,0
244,2000,0
245,2000,0
246,2000,0
247,2000,0
248,2000,0
249,2000,0
250,2000,0
251,2000,0
252,2000,0
253,2000,0
254,2000,0
255,2000,0
256,2000,0
257,2000,0
258,2000,0
259,2000,0
260,2000,0
261,2000,0
262,2000,0
263,2000,0
