generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_recombinations,mean_fitness_active,mean_conserved_active,mean_b_immune_active,mean_t_immune_active,mean_replicative_active
0,10,0,0,0,0,0,0,0,0.8520755747117391,1.0,1.0,1.0,0.8520755747117391
30,1940,11,1,1,0,0,102,38,0.09835126965910979,0.9878865979381444,0.9333983518217851,0.12577319587628866,0.8510669760958703
60,2000,63,2,1,0,1,135,51,0.35011561037113537,0.992125,0.8335666666666667,0.501,0.8460631193234418
90,2000,97,1,0,0,0,124,58,0.368084034613598,0.98775,0.7375866666666667,0.601,0.84491654475289
120,2000,130,2,1,1,1,138,48,0.5857357898445106,0.9885,0.7035699999999999,0.9995,0.8425715472672732
150,2000,137,4,2,6,1,150,44,0.5913184597244284,0.99225,0.7077249999999999,1.0,0.8418606438689891
180,2000,151,1,1,1,0,132,48,0.5943711319332959,0.99075,0.7129599999999999,1.0,0.8411834856361851
210,2000,165,0,3,1,4,117,39,0.5999703623657914,0.989,0.722245,0.9995,0.8403810771141834
240,2000,175,1,1,0,4,141,34,0.596001959660281,0.99225,0.715015,1.0,0.8401055176768277
270,2000,167,2,2,2,0,114,48,0.6033735015468927,0.9905,0.724945,1.0,0.8402681718908603
300,2000,188,3,2,1,1,115,47,0.5942688287577056,0.989,0.7160331575408762,1.0,0.8394613564683692
330,2000,180,3,2,3,1,108,45,0.5955754561748767,0.992,0.71636,1.0,0.8382729114204299
360,2000,181,2,1,3,2,126,33,0.6091670396633561,0.992,0.733226,1.0,0.8377300383356212
