generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,0.8521437889662113
30,1641,10,2,0,0,0,82,33,0.8512924087729234,1.0,1.0,0.8512903326787213
60,1999,62,2,0,1,1,104,37,0.7369051835031051,0.9995047523761881,0.8668867767216555,0.8504747888112805
90,1999,101,1,1,1,1,87,44,0.6243452766617532,1.0,0.7345872936468338,0.8499303867297987
120,1999,136,3,0,2,1,106,39,0.5191473101637398,1.0,0.6112056028014012,0.8493865690700672
150,2000,166,0,0,1,2,97,50,0.5286760639013772,1.0,0.6233488888889,0.8481408107135542
180,2000,170,2,1,1,1,105,35,0.5239200144880296,1.0,0.6181822222222227,0.8475187771628274
210,2000,163,1,0,3,2,115,37,0.5495487375041032,0.999505,0.6489315646716678,0.8472411432758513
240,2000,169,3,2,2,0,91,47,0.5105142469207306,0.999505,0.60324,0.8467347045032699
270,2000,203,1,3,0,2,100,44,0.5176964134815631,1.0,0.6116488888888884,0.8464013165798335
300,2000,218,0,1,1,2,127,48,0.5184376037996131,1.0,0.6131800000000002,0.8454943617822125
330,2000,191,2,2,6,0,95,38,0.5125088741460712,1.0,0.606419999999997,0.8451346678536197
360,2000,209,2,1,2,2,108,43,0.5157969567762929,1.0,0.6108507204102127,0.844396607251937
390,2000,200,1,1,4,1,128,44,0.5121813105956424,1.0,0.6073761452528943,0.8432517812393883
420,2000,193,0,2,0,2,84,36,0.5206756891204584,1.0,0.617440000000001,0.8432572503564149
450,2000,210,2,4,1,3,110,47,0.5138680907260301,0.999505,0.6094733333333336,0.8436457678186449
480,2000,221,5,1,3,1,110,49,0.5196823805570923,1.0,0.6164333333333314,0.8430516119867691
