generation,seq_id,b_immune,t_immune,conserved,replicative,overall
founder,founder0,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder1,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder2,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder3,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder4,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder5,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder6,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder7,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder8,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
founder,founder9,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_0,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_1,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_2,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_3,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_4,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_5,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_6,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_7,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_8,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
0,gen0_active_9,1.0,1.0,1.0,0.8520755747117391,0.8520755747117391
30,gen30_active_0,0.9333333333333333,0.125,0.5,0.8503722756378904,0.04960504941221028
30,gen30_active_1,0.9333333333333333,0.125,1.0,0.8520755747117391,0.0994088170497029
30,gen30_active_2,0.9333333333333333,0.125,1.0,0.8503722756378904,0.09921009882442056
30,gen30_active_3,0.9333333333333333,0.125,1.0,0.8512234991370274,0.0993094082326532
30,gen30_active_4,0.9333333333333333,0.125,1.0,0.8495219033622525,0.09911088872559613
30,gen30_active_5,0.9333333333333333,0.125,1.0,0.8520755747117391,0.0994088170497029
30,gen30_active_6,0.9333333333333333,0.125,1.0,0.8512234991370274,0.0993094082326532
30,gen30_active_7,0.9333333333333333,0.125,1.0,0.8512234991370274,0.0993094082326532
30,gen30_active_8,0.9333333333333333,0.125,1.0,0.8478237090774313,0.09891276605903365
30,gen30_active_9,0.9333333333333333,0.125,1.0,0.8520755747117391,0.0994088170497029
60,gen60_active_0,0.8333333333333334,0.5,1.0,0.8452827805735026,0.3522011585722928
60,gen60_active_1,0.8333333333333334,0.5,1.0,0.8461289094829856,0.3525537122845773
60,gen60_active_2,0.8333333333333334,0.5,1.0,0.8469758853683539,0.3529066189034808
60,gen60_active_3,0.8333333333333334,0.5,1.0,0.8469758853683539,0.3529066189034808
60,gen60_active_4,0.8333333333333334,0.5,1.0,0.8444374977929291,0.35184895741372046
60,gen60_active_5,0.8333333333333334,0.5,1.0,0.8461289094829856,0.3525537122845773
60,gen60_active_6,0.8333333333333334,0.5,1.0,0.8444374977929291,0.35184895741372046
60,gen60_active_7,0.8333333333333334,0.5,1.0,0.8461289094829856,0.3525537122845773
60,gen60_active_8,0.8333333333333334,0.5,1.0,0.8486723814588902,0.3536134922745376
60,gen60_active_9,0.8333333333333334,0.5,1.0,0.8461289094829856,0.3525537122845773
90,gen90_active_0,0.7333333333333334,0.5,1.0,0.8444374977929291,0.309627082524074
90,gen90_active_1,0.7333333333333334,0.5,1.0,0.8452827805735026,0.30993701954361763
90,gen90_active_2,0.7333333333333334,0.5,1.0,0.8435930602951361,0.3093174554415499
90,gen90_active_3,0.7333333333333334,0.5,1.0,0.8452827805735026,0.30993701954361763
90,gen90_active_4,0.7333333333333334,0.5,1.0,0.8444374977929291,0.309627082524074
90,gen90_active_5,0.7866666666666666,0.5,1.0,0.8452827805735026,0.33247789369224434
90,gen90_active_6,0.7866666666666666,0.5,1.0,0.8452827805735026,0.33247789369224434
90,gen90_active_7,0.7333333333333334,0.5,1.0,0.8452827805735026,0.30993701954361763
90,gen90_active_8,0.7333333333333334,0.5,1.0,0.8419067177676062,0.3086991298481223
90,gen90_active_9,0.7333333333333334,0.5,1.0,0.8461289094829856,0.3102472668104281
120,gen120_active_0,0.7,1.0,1.0,0.8402237462387887,0.588156622367152
120,gen120_active_1,0.7,1.0,1.0,0.842749467234841,0.5899246270643886
120,gen120_active_2,0.7,1.0,1.0,0.8385441389700574,0.5869808972790401
120,gen120_active_3,0.7,1.0,1.0,0.842749467234841,0.5899246270643886
120,gen120_active_4,0.7,1.0,1.0,0.8419067177676062,0.5893347024373243
120,gen120_active_5,0.7,1.0,1.0,0.8393835224925499,0.5875684657447848
120,gen120_active_6,0.7,1.0,1.0,0.8444374977929291,0.5911062484550503
120,gen120_active_7,0.7,1.0,1.0,0.8435930602951361,0.5905151422065953
120,gen120_active_8,0.7,1.0,1.0,0.8402237462387887,0.588156622367152
120,gen120_active_9,0.7,1.0,1.0,0.8419067177676062,0.5893347024373243
150,gen150_active_0,0.73,1.0,1.0,0.8402237462387887,0.6133633347543157
150,gen150_active_1,0.73,1.0,1.0,0.842749467234841,0.6152071110814339
150,gen150_active_2,0.7,1.0,1.0,0.8410648110498385,0.588745367734887
150,gen150_active_3,0.73,1.0,1.0,0.8402237462387887,0.6133633347543157
150,gen150_active_4,0.7,1.0,1.0,0.8402237462387887,0.588156622367152
150,gen150_active_5,0.7,1.0,1.0,0.8419067177676062,0.5893347024373243
150,gen150_active_6,0.73,1.0,1.0,0.8419067177676062,0.6145919039703525
150,gen150_active_7,0.7,1.0,1.0,0.8410648110498385,0.588745367734887
150,gen150_active_8,0.7,1.0,1.0,0.8393835224925499,0.5875684657447848
150,gen150_active_9,0.7,1.0,1.0,0.8419067177676062,0.5893347024373243
180,gen180_active_0,0.7,1.0,1.0,0.8419067177676062,0.5893347024373243
180,gen180_active_1,0.7,1.0,1.0,0.842749467234841,0.5899246270643886
180,gen180_active_2,0.73,1.0,1.0,0.8393835224925499,0.6127499714195614
180,gen180_active_3,0.73,1.0,1.0,0.8410648110498385,0.6139773120663822
180,gen180_active_4,0.7,1.0,1.0,0.8402237462387887,0.588156622367152
180,gen180_active_5,0.73,1.0,1.0,0.842749467234841,0.6152071110814339
180,gen180_active_6,0.7,1.0,1.0,0.8385441389700574,0.5869808972790401
180,gen180_active_7,0.73,1.0,1.0,0.8385441389700574,0.6121372214481419
180,gen180_active_8,0.73,1.0,1.0,0.8419067177676062,0.6145919039703525
180,gen180_active_9,0.73,1.0,1.0,0.842749467234841,0.6152071110814339
210,gen210_active_0,0.73,1.0,1.0,0.8444374977929291,0.6164393733888383
210,gen210_active_1,0.7,1.0,1.0,0.8385441389700574,0.5869808972790401
210,gen210_active_2,0.7,1.0,1.0,0.8402237462387887,0.588156622367152
210,gen210_active_3,0.73,1.0,1.0,0.8368678892362562,0.610913559142467
210,gen210_active_4,0.73,1.0,1.0,0.8419067177676062,0.6145919039703525
